City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Boyuibe,BO,2022-01-30 17:58:39,-20.4167,-63.2833,87.71,26,5,7.25
159,Praia Da Vitoria,PT,2022-01-30 17:58:39,38.7333,-27.0667,61.75,77,75,20.85
160,Nipawin,CA,2022-01-30 17:58:40,53.3668,-104.0009,17.64,86,100,9.22
161,Zaysan,KZ,2022-01-30 17:58:40,47.4667,84.8667,6.26,88,100,1.25
162,Paramirim,BR,2022-01-30 17:58:40,-13.4425,-42.2389,81.09,66,49,2.21
163,Itarema,BR,2022-01-30 17:58:41,-2.9248,-39.9167,77.05,86,100,10.18
164,Lagoa,PT,2022-01-30 17:56:41,39.05,-27.9833,57.78,66,66,22.37
165,Ludhiana,IN,2022-01-30 17:58:41,30.9,75.85,49.51,71,1,4.63
166,Minas,UY,2022-01-30 17:58:42,-34.3759,-55.2377,83.52,42,1,10.69
167,Depalpur,IN,2022-01-30 17:58:42,22.85,75.55,59.4,30,0,4.5
168,Kavaratti,IN,2022-01-30 17:58:43,10.5669,72.642,81.37,71,42,9.55
169,Sao Gabriel Da Cachoeira,BR,2022-01-30 17:58:43,-0.1303,-67.0892,87.6,66,40,5.75
170,Contai,IN,2022-01-30 17:58:43,21.7786,87.7536,65.26,51,0,4.27
171,Mabaruma,GY,2022-01-30 17:58:44,8.2,-59.7833,86.14,49,24,8.46
172,Benghazi,LY,2022-01-30 17:53:51,32.1167,20.0667,56.52,65,83,24.0
173,Dalbandin,PK,2022-01-30 17:58:44,28.8947,64.4101,59.43,36,0,7.74
174,Kuryk,KZ,2022-01-30 17:58:45,43.2,51.65,42.19,73,100,5.97
175,Aquiraz,BR,2022-01-30 17:58:18,-3.9014,-38.3911,87.89,74,99,10.25
176,Mantua,IT,2022-01-30 17:57:29,45.1667,10.7833,47.28,84,1,1.99
177,Huarmey,PE,2022-01-30 17:58:45,-10.0681,-78.1522,73.65,77,100,8.39
178,Nikolskoye,RU,2022-01-30 17:58:46,59.7035,30.7861,30.7,96,100,7.47
