City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Yarada,IN,80.92,haze,17.65,83.2667,Visakhapatnam
469,Bairiki,KI,84.2,light rain,1.3292,172.9752,Bairiki
477,Miri,MY,83.68,few clouds,4.4148,114.0089,Miri
480,Biak,ID,83.1,overcast clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
484,Neiafu,TO,80.49,moderate rain,-18.65,-173.9833,Neiafu
487,Aquiraz,BR,79.18,overcast clouds,-3.9014,-38.3911,Eusébio
488,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,Touros
494,Kieta,PG,81.45,moderate rain,-6.2167,155.6333,Kieta
508,Matara,LK,85.3,clear sky,5.9485,80.5353,Matara
509,Mabay,PH,82.74,overcast clouds,6.0577,124.4666,Maitum
520,Bowen,AU,85.28,overcast clouds,-20.0167,148.2333,Bowen
521,Gambo,CF,75.6,overcast clouds,4.6482,22.2633,Gambo
524,Malakal,SS,79.92,overcast clouds,9.5334,31.6605,Malakal
530,Buala,SB,79.56,light rain,-8.145,159.5921,Buala
531,Meulaboh,ID,86.77,scattered clouds,4.1363,96.1285,Meulaboh
532,Tautira,PF,82.42,light rain,-17.7333,-149.15,Tautira
540,Alofi,NU,81.05,broken clouds,-19.0595,-169.9187,Alofi
542,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Wilson Hill
544,Ugoofaaru,MV,81.41,few clouds,5.6667,73.0,Ungoofaaru
545,Hambantota,LK,88.14,few clouds,6.1241,81.1185,Hambantota
547,Sibolga,ID,85.68,light rain,1.7427,98.7792,Sibolga
551,Mogadishu,SO,81.45,broken clouds,2.0371,45.3438,Mogadishu
554,Chake Chake,TZ,83.68,overcast clouds,-5.2459,39.7666,Chake Chake
555,Vanimo,PG,80.44,moderate rain,-2.6741,141.3028,Vanimo
562,Qui Nhon,VN,76.86,broken clouds,13.7667,109.2333,Qui Nhơn
567,Road Town,VG,75.99,clear sky,18.4167,-64.6167,Road Town
572,Gizo,SB,80.55,moderate rain,-8.103,156.8419,Gizo
581,Tarakan,ID,89.1,scattered clouds,3.3,117.6333,Tarakan
583,Muisne,EC,75.49,light rain,0.6,-80.0333,Muisne
584,Balabac,PH,83.12,broken clouds,7.9868,117.0645,Balabac
589,Alappuzha,IN,83.16,few clouds,9.49,76.3264,Alappuzha
591,Cape Coast,GH,77.63,broken clouds,5.1053,-1.2466,Cape Coast
593,Eydhafushi,MV,82.0,few clouds,5.1033,73.0708,Eydhafushi
598,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Maceió
